Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000095017025026262,EX-21,"https://www.sec.gov/Archives/edgar/data/1161728/000095017025026262/mgee-ex21.htm",Failed,"FAILED","","0","","","","","false"
000095017025036608,EX-21,"https://www.sec.gov/Archives/edgar/data/1162194/000095017025036608/lab-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000155837025000926,EX-21,"https://www.sec.gov/Archives/edgar/data/1163739/000155837025000926/nbr-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
000164117225015177,EX-21,"https://www.sec.gov/Archives/edgar/data/1166708/000164117225015177/ex21.htm",Failed,"FAILED","","0","","","","","false"
000155837025001888,EX-21,"https://www.sec.gov/Archives/edgar/data/1167419/000155837025001888/riot-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
000162828025009438,EX-21,"https://www.sec.gov/Archives/edgar/data/1169770/000162828025009438/a12312410-kexhibit211.htm",Failed,"FAILED","","0","","","","","false"
000143774925005715,EX-21,"https://www.sec.gov/Archives/edgar/data/1171486/000143774925005715/ex/728390.htm",Failed,"FAILED","","0","","","","","false"
000117175925000012,EX-21,"https://www.sec.gov/Archives/edgar/data/1171759/000117175925000012/rrgb-20241229xex211.htm",Failed,"FAILED","","0","","","","","false"
000117205225000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1172052/000117205225000006/saft-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
000143774925004616,EX-21,"https://www.sec.gov/Archives/edgar/data/1172358/000143774925004616/ex/700995.htm",Failed,"FAILED","","0","","","","","false"
000095017025091741,EX-21,"https://www.sec.gov/Archives/edgar/data/1173204/000095017025091741/cnvs-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000117492225000039,EX-21,"https://www.sec.gov/Archives/edgar/data/1174922/000117492225000039/ex211-subsidiariesofwrlx20.htm",Failed,"FAILED","","0","","","","","false"
000101376225003450,EX-21,"https://www.sec.gov/Archives/edgar/data/1176309/000101376225003450/ea023439401ex21-1/oramed.htm",Failed,"FAILED","","0","","","","","false"
000117760925000009,EX-21,"https://www.sec.gov/Archives/edgar/data/1177609/000117760925000009/form2024/fiveex211sublist.htm",Failed,"FAILED","","0","","","","","false"
